state,vid_req,bc_req,county,vid_agency,vid_loc,vid_hours,vid_phone,bc_mail_inst,bc_online_inst,bc_in_person_agency,bc_in_person_cost,bc_in_person_loc,bc_in_person_hours,bc_in_person_phone
WI,"You have to show an official photo ID such as an unexpired Wisconsin driver license or state ID card in order to get a ballot. 

An expired Wisconsin driver license or ID is acceptable, as long as it expired within two years after the most recent general election. In plain English, if your Wisconsin driver license or ID expired in December 2010, you can vote in the Primary or November General Elections.

What IDs are acceptable?

1. A Wisconsin Department of Transportation-issued driver license.
2. A Wisconsin Department of Transportation-issued identification card.
3. An identification card issued by a U.S. uniformed service.
4. A U.S. passport.
5. A certificate of naturalization that was issued not earlier than two years before the date of an election at which it is presented.
6. An unexpired driving receipt issued by Wisconsin Department of Transportation.
7. An unexpired identification card receipt issued by Wisconsin Department of Transportation.
8. An identification card issued by a federally recognized Indian tribe in Wisconsin.
9. An unexpired identification card issued by a Wisconsin-accredited university or college that contains the date it was issued, the signature of the student and an expiration date no later than two years after the date it was issued.

Any Wisconsin resident who does not hold a valid driver license from Wisconsin or another jurisdiction may request a photo ID. IN ORDER TO GET A FREE ID, YOU HAVE TO ASK FOR A FREE ID FOR VOTING.

To apply for a Wisconsin Identification Card, you must complete the application [LINK to http://www.dot.wisconsin.gov/drivers/forms/mv3004.pdf] and provide:
Proof of name and date of birth, typically your original or certified birth certificate.
Proof of identity. The document must identify you by name and bear your signature or a readily recognizable photograph of you.
Proof of Wisconsin residency [LINK to http://www.dot.wisconsin.gov/drivers/drivers/apply/doc/proof-resident.htm].
Proof of U.S. citizenship, legal permanent resident status, legal conditional resident status or legal temporary visitor status [LINK to http://www.dot.wisconsin.gov/drivers/drivers/apply/doc/proof-legal.htm].
Your social security number.

If you have your original or certified birth certificate, you're good to go to the DMV [LINK to Apply for Voter Photo ID at DMV]. IN ORDER TO GET A FREE ID, YOU HAVE TO ASK FOR A FREE ID FOR VOTING.

If you need to obtain your birth certificate, you can request it by mail [LINK to How to Obtain Birth Certificate By Mail and Cost], in person [LINK to Where to Go to Obtain Birth Certificate In Person], or order it online [LINK to How To Obtain Birth Certificate Online and Cost].

Have questions? Call the toll-free Voter Help Line 1-866-VOTE-WIS.","Identification is required to pick up birth certificates. If you do not have proper identification, birth certificates will be mailed. If you don't have a valid photo ID, check here for other acceptable forms of identification http://pdf.countyofdane.com/regdeeds/counter.pdf.
",,,,,,"
","Call VitaChek at 1-800-255-2414 or go to their website, http://vitalchek.com. The state fee is $20.00 plus $10.00 VitaChek processing fee for a total cost of $30.00.",,,,,
WI,,,Dane,Madison East Service Center,"2001 Bartillon Drive, Madison, WI 53704","Monday, Tuesday, Friday 8:30 am - 4:30 pm
Wednesday 8 am - 4 pm
Thursday 10 am - 5:30 pm","
","Print the Birth Certificate Application http://pdf.countyofdane.com/regdeeds/BirthCertificateApplication.pdf.
Mail the completed and signed application, a $20.00 money order payable to “Register of Deeds,” a copy of your valid photo ID, and a self-addressed stamped envelope to: Register of Deeds, P.O. Box, 1438, Madison, WI 53701-1438.",,Register of Deeds Office Vital Records Section.,The cost is $20.00.,"City County Building Room 110, 210 Martin Luther King Jr., Blvd., Madison, WI 53703",Mon - Fri 7:45 am - 4:30 pm,(608) 266-4142
WI,,,Milwaukee,Central Milwaukee Service Center,"2701 S. Chase Avenue, Milwaukee, WI 53207","Monday, Wednesday, Friday 8:30 am - 4:30 pm
Tuesday 10 am - 5:30 pm
Thursday 8 am - 4 pm","
","Print Wisconsin Birth Certificate Application http://www.racineco.com/crepository/registerofdeeds/birth.pdf.
Complete and sign form, and return it with a self-addressed, stamped envelope, and $20.00 money order or cashier's check payable to “Racine County Register of Deeds” to: Racine County Register of Deeds, 730 Wisconsin Avenue, Racine, WI 53403.",,Milwaukee County Register of Deeds," Free for voting purposes. Complete Request for a Free Birth Record needed to Obtain an I.D. Card for Purposes of Voting http://county.milwaukee.gov/ImageLibrary/Groups/cntyRegisterDeeds/ROD-FormForFreeBirthCertificat.pdf.
","901 N. 9th Street, Courthouse Room 103, Milwaukee WI 53233",Mon - Fri 8 am - 4:15 pm,(414) 278-4002
WI,,,Milwaukee,Milwaukee Downtown Service Center,"819 N. 6th Street,  Room 190, Milwaukee, WI 53202","Monday, Tuesday, Thursday 8:15 am - 4:15 pm
Wednesday 8:30 am - 4:15 pm","
","Print Wisconsin Birth Certificate Application http://county.milwaukee.gov/ImageLibrary/Public/MilwaukeeCounty/RegisterofDeeds/BirthApplication.pdf#_blank. Complete and return it to the following address with a self-addressed stamped envelope: Register of Deeds Vital Records, 901 N. 9th Street, Milwaukee WI 53233.

The birth certificate is free for voting purposes. You must also complete and return the Request for a Free Birth Record needed to Obtain an I.D. Card for Purposes of Voting http://county.milwaukee.gov/ImageLibrary/Groups/cntyRegisterDeeds/ROD-FormForFreeBirthCertificat.pdf.",,,,,,
WI,,,Milwaukee,Milwaukee Northeast Service Center,"6073 N. Teutonia Avenue, Milwaukee, WI 53209
","Monday, Thursday, Friday 8:30 am - 4:30 pm
Tuesday 8 am - 4 pm
Wednesday 10 am - 5:30 pm",,,,,,,,
WI,,,Milwaukee,Milwaukee Northwest Service Center,"7301 W. Mill Road, Milwaukee, WI 53218
","Monday, Tuesday, Friday 8:30 am - 4:30 pm
Wednesday 8 am - 4 pm
Thursday 10 am - 5:30 pm ",,,,,,,,
WI,,,Milwaukee,"South Milwaukee Service Center
","1835 College Avenue, South Milwaukee, WI 53172","Monday, Thursday, Friday 8:30 am - 4:30 pm
Tuesday 8 am - 4 pm
Wednesday 10 am - 5:30 pm",,,,,,,,
WI,,,Milwaukee,Milwaukee Southwest Service Center,"5500 W. Grange Avenue, Greendale, WI 53129            ","Monday, Tuesday, Friday 8:30 am - 4:30 pm
Wednesday 8 am - 4 pm
Thursday 10 am - 5:30 pm ",,,,,,,,
WI,,,Racine,Racine/Sturtevant Service Center,"9531 Rayne Road, Sturtevant, WI 53177","Monday, Wednesday, Friday 8:30 am - 4:30 pm
Tuesday 10 am - 5:30 pm
Thursday 8 am - 4 pm",,,,Register of Deeds,The cost is $20.00,"730 Wisconsin Avenue, 1st Floor, Racine WI 53403",Mon - Fri 8:00am - 5:00pm,(262) 636-3208
TN,"You must present government-issued photo ID when voting at polling places. Acceptable forms of photo ID include:

1. Tennessee driver license (current or expired);
2. Driver license issued by another state (current or expired); 
3. U.S. passport; 
4. Federal employee ID with photo;
5. State employee ID with photo (including those issued by state universities);
6. U.S. military ID; or
7. Gun permit card with a photo.

Student ID cards from state universities are NOT acceptable.

If you are a registered voter and do not have an acceptable form of photo ID, the Department of Safety and Homeland Security will provide you with a photo ID at no charge. You can obtain a voter photo ID at a Driver Service Center [LINK to http://www.tn.gov/safety/driverlicense/dllocationmain.shtml]. 

In order to get a photo ID for voting purposes, you must show a Driver Service Center examiner proof of citizenship (such as an original or certified birth certificate), and two proofs of Tennessee residency (such as a copy of a utility bill or bank statement).

If you have your original or certified birth certificate, you're good to go to a Driver Service Center [LINK to Apply for Voter ID at Driver Service Center] free of charge.

If you need to obtain your birth certificate, you can request it by mail [LINK to How to Obtain Birth Certificate By Mail and Cost], in person [LINK to Where to Go to Obtain Birth Certificate In Person], or order it online [LINK to How To Obtain Birth Certificate Online and Cost].

Have questions? Call 1-877-850-4959 or visit the Division of Elections website at http://www.GoVoteTN.com.","Accepted Forms of Identification
ONE item from the following list: 
Current driver's license
Current passport 
Military I.D. card 
U.S. Certificate of Naturalization 
Certificate of Citizenship or Citizenship ID card 

TWO items from the following list: 
Current pay stub or W2 
Vehicle registration with name and current address 
Voter Registration card 
Military Discharge (DD214) 

Utility Bill, Bank Statement or deposit slip with name and current address 
Health care coverage card 
Medical record 
Application page of an insurance policy 
Signed Social Security Card

For those person who have hadtheir I.D. stolen, a copy a police report or other official documents which support the theft.

",,,,,,http://www.google.com/intl/en/landing/transit/,,"Call VitaChek at 1-800-255-2414 or go to their website, http://vitalchek.com. The state fee is $8.00 plus $7.00 VitaChek processing fee for a total cost of $15.00.",,,,
